id,label,statement
2635.json,FALSE,Says the Annies List political group supports third-trimester abortions on demand.
10540.json,half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.
324.json,mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""
1123.json,FALSE,Health care reform legislation is likely to mandate free sex change surgeries.
9028.json,half-true,The economic turnaround started at the end of my term.
12465.json,TRUE,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
2342.json,barely-true,Jim Dunnam has not lived in the district he represents for years now.
153.json,half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate."
5602.json,half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific."
9741.json,mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
7115.json,mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."
4148.json,half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty."
5947.json,FALSE,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."
8616.json,mostly-true,The economy bled $24 billion due to the government shutdown.
8705.json,barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.
10683.json,half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."
620.json,TRUE,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 
3863.json,barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out"
12372.json,half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner."
12385.json,mostly-true,"Almost 100,000 people left Puerto Rico last year."
10173.json,FALSE,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
9867.json,mostly-true,The United States has the highest corporate tax rate in the free world.
12408.json,mostly-true,We just had the best year for the auto industry in America in history.
2673.json,half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care."
7057.json,barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.
10215.json,FALSE,I dont know who (Jonathan Gruber) is.
12517.json,mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
3910.json,half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.
11092.json,FALSE,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."
12163.json,mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.
13237.json,TRUE,Says Paul Ryan is still endorsing Trump.
5383.json,barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates."
9727.json,FALSE,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
8239.json,mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.
10121.json,mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.
7550.json,TRUE,We have a federal government that thinks they have the authority to regulate our toilet seats.
9018.json,TRUE,Austin is a city that has basically doubled in size every 25 years or so since it was founded.
1038.json,TRUE,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests."
2940.json,pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct."
8492.json,TRUE,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt."
5352.json,FALSE,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
12027.json,half-true,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.
5210.json,pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company"
7993.json,pants-fire,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
1926.json,FALSE,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
11418.json,half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.
7990.json,pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally."
3652.json,FALSE,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
12848.json,pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.
13503.json,TRUE,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
4930.json,barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country
